[Sat Mar 14 12:42:10.565497 2026] [php:error] [pid 7325:tid 7325] [client ::1:32944] script '/var/www/Sites/LearningHtml/public/Index.php' not found or unable to stat
[Sat Mar 14 12:45:44.319202 2026] [php:warn] [pid 7306:tid 7306] [client ::1:59438] PHP Warning:  Undefined variable $PHP_SELF in /var/www/Sites/LearningHtml/public/index.php on line 13
[Sat Mar 14 12:46:13.542722 2026] [php:error] [pid 7957:tid 7957] [client ::1:33138] script '/var/www/Sites/LearningHtml/public/home.php' not found or unable to stat
[Sat Mar 14 12:46:30.049055 2026] [php:error] [pid 7958:tid 7958] [client ::1:51446] script '/var/www/Sites/LearningHtml/public/home.php' not found or unable to stat
[Sat Mar 14 12:46:32.860020 2026] [php:warn] [pid 7958:tid 7958] [client ::1:51446] PHP Warning:  Undefined variable $PHP_SELF in /var/www/Sites/LearningHtml/public/index.php on line 14
[Sat Mar 14 12:46:33.659565 2026] [php:warn] [pid 7958:tid 7958] [client ::1:51446] PHP Warning:  Undefined variable $PHP_SELF in /var/www/Sites/LearningHtml/public/index.php on line 14
[Sat Mar 14 12:58:44.730367 2026] [php:warn] [pid 8452:tid 8452] [client ::1:48526] PHP Warning:  include(../views/header.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 12:58:44.730420 2026] [php:warn] [pid 8452:tid 8452] [client ::1:48526] PHP Warning:  include(): Failed opening '../views/header.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 12:58:44.730482 2026] [php:warn] [pid 8452:tid 8452] [client ::1:48526] PHP Warning:  include(../views/footer.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 12:58:44.730495 2026] [php:warn] [pid 8452:tid 8452] [client ::1:48526] PHP Warning:  include(): Failed opening '../views/footer.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 14:42:06.241797 2026] [php:warn] [pid 1237:tid 1237] [client ::1:37476] PHP Warning:  include(../views/header.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 14:42:06.241993 2026] [php:warn] [pid 1237:tid 1237] [client ::1:37476] PHP Warning:  include(): Failed opening '../views/header.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 14:42:06.242066 2026] [php:warn] [pid 1237:tid 1237] [client ::1:37476] PHP Warning:  include(../views/footer.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 14:42:06.242108 2026] [php:warn] [pid 1237:tid 1237] [client ::1:37476] PHP Warning:  include(): Failed opening '../views/footer.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 14:42:06.610131 2026] [php:warn] [pid 1238:tid 1238] [client ::1:37482] PHP Warning:  include(../views/header.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.610257 2026] [php:warn] [pid 1238:tid 1238] [client ::1:37482] PHP Warning:  include(): Failed opening '../views/header.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.610383 2026] [php:warn] [pid 1238:tid 1238] [client ::1:37482] PHP Warning:  include(../views/footer.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.610406 2026] [php:warn] [pid 1238:tid 1238] [client ::1:37482] PHP Warning:  include(): Failed opening '../views/footer.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.619589 2026] [php:warn] [pid 1239:tid 1239] [client ::1:37498] PHP Warning:  include(../views/header.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.619697 2026] [php:warn] [pid 1239:tid 1239] [client ::1:37498] PHP Warning:  include(): Failed opening '../views/header.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.619795 2026] [php:warn] [pid 1239:tid 1239] [client ::1:37498] PHP Warning:  include(../views/footer.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.619813 2026] [php:warn] [pid 1239:tid 1239] [client ::1:37498] PHP Warning:  include(): Failed opening '../views/footer.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.623923 2026] [php:warn] [pid 1238:tid 1238] [client ::1:37482] PHP Warning:  include(../views/header.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.623977 2026] [php:warn] [pid 1238:tid 1238] [client ::1:37482] PHP Warning:  include(): Failed opening '../views/header.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.624057 2026] [php:warn] [pid 1238:tid 1238] [client ::1:37482] PHP Warning:  include(../views/footer.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
